MASTER,オンゲキ,Island Breeze,13.3
MASTER,オンゲキ,UTOPIA CRASH,13.6
MASTER,niconico,ミラクルペイント,13.4
MASTER,POPS＆ANIME,クライノイド,13.0
MASTER,オンゲキ,超前進！満点スマイル！,13.5
MASTER,チュウマイ,REAL VOICE,13.4
MASTER,niconico,卑怯戦隊うろたんだー,13.6
MASTER,オンゲキ,Geki Geki!! 激闘Break Out!!,13.0
MASTER,東方Project,キュアリアス光吉古牌　－祭－,13.2
MASTER,東方Project,New World,13.4
MASTER,東方Project,Over the Border,13.2
MASTER,オンゲキ,Resolution,13.2
MASTER,オンゲキ,ヒストリー×ブレイカー,13.3
MASTER,niconico,ストリーミングハート,13.4
MASTER,VARIETY,Alice's Suitcase,13.2
MASTER,チュウマイ,Magic,13.0
MASTER,オンゲキ,HEADLINER,13.0
MASTER,オンゲキ,Memories of O.N.G.E.K.I.（楽曲）,13.5
MASTER,チュウマイ,とびだせ！TO THE COSMIC!!,13.5
MASTER,チュウマイ,コスモポップファンクラブ,13.2
MASTER,チュウマイ,Paradisoda,13.3
MASTER,チュウマイ,ユメキキョウ,13.6
MASTER,チュウマイ,はちみつアドベンチャー,13.0
MASTER,チュウマイ,Cosmic Train,13.1
LUNATIC,LUNATIC,永遠メモリー,13.4
LUNATIC,LUNATIC,Zest of Blue,13.6
LUNATIC,LUNATIC,UTAKATA,13.6
LUNATIC,LUNATIC,どうぶつ☆パラダイス,13.6
LUNATIC,LUNATIC,夜明けのストリング,13.5
EXPERT,チュウマイ,蜘蛛の糸,13.5
EXPERT,チュウマイ,Hainuwele,13.0
EXPERT,オンゲキ,Final Flash Flight,12.8
EXPERT,VARIETY,Tempestissimo,12.8
EXPERT,オンゲキ,Diamond Dust -crystal piano Arr.-,12.7
EXPERT,チュウマイ,Caliburne ～Story of the Legendary sword～,12.7
EXPERT,チュウマイ,渦状銀河のシンフォニエッタ,12.9
MASTER,POPS＆ANIME,リテラチュア,12.7
MASTER,POPS＆ANIME,金木犀 feat.Ado,12.7
MASTER,POPS＆ANIME,ヒステリックナイトガール,12.9
MASTER,東方Project,回転 feat.あやぽんず＊,12.7
MASTER,オンゲキ,FANTASY BABY,12.9
MASTER,POPS＆ANIME,ワガママMIRROR HEART,12.7
MASTER,チュウマイ,マイオドレ！舞舞タイム,12.9
MASTER,VARIETY,HELLO SOFMAP WORLD,12.8
MASTER,チュウマイ,ロング・スロー・アライブ,12.8
MASTER,ボーナストラック,STARRED HEART -星咲 あかりソロver.-,12.8
MASTER,ボーナストラック,STARRED HEART -結城 莉玖ソロver.-,12.8
MASTER,ボーナストラック,STARRED HEART -九條 楓ソロver.-,12.8
MASTER,ボーナストラック,STARRED HEART -珠洲島 有栖ソロver.-,12.8
MASTER,ボーナストラック,STARRED HEART -東雲 つむぎソロver.-,12.8
MASTER,東方Project,Singing to the gods,12.9
MASTER,niconico,敗北の少年,12.9
MASTER,niconico,マチガイサガシ,12.9
MASTER,ボーナストラック,Transcend Lights -星咲 あかりソロver.-,12.7
MASTER,ボーナストラック,Transcend Lights -高瀬 梨緒ソロver.-,12.7
MASTER,ボーナストラック,Transcend Lights -柏木 美亜ソロver.-,12.7
MASTER,ボーナストラック,Transcend Lights -東雲 つむぎソロver.-,12.7
MASTER,ボーナストラック,Transcend Lights -皇城 セツナソロver.-,12.7
MASTER,オンゲキ,イルミネーション,12.8
MASTER,ボーナストラック,絆はずっとGrowing Up!!! -星咲 あかりソロver.-,12.7
MASTER,ボーナストラック,絆はずっとGrowing Up!!! -藤沢 柚子ソロver.-,12.7
MASTER,ボーナストラック,絆はずっとGrowing Up!!! -三角 葵ソロver.-,12.7
MASTER,チュウマイ,FestivaLight,12.7
MASTER,niconico,ヴァンパイア,12.8
MASTER,niconico,フォニイ,12.7
ADVANCED,オンゲキ,Recollect Lines,12.5
EXPERT,VARIETY,8OROCHI,12.4
EXPERT,チュウマイ,Alea jacta est!,12.3
EXPERT,オンゲキ,Knocking Harder,12.4
EXPERT,オンゲキ,YURUSHITE (LeaF Remix),12.2
EXPERT,オンゲキ,Princesses Holiday,12.3
EXPERT,チュウマイ,Blows Up Everything,12.3
EXPERT,オンゲキ,Baqeela (Creepy Remix),12.2
EXPERT,チュウマイ,Trrricksters!!,12.3
EXPERT,VARIETY,Akasagarbha -reincarnate-,12.4
EXPERT,東方Project,妖々跋扈 ～ Who done it！！！,12.1
EXPERT,東方Project,Armageddon,12.6
EXPERT,オンゲキ,FLUFFY FLASH (C-Show ＆ Maozon Remix),12.5
EXPERT,オンゲキ,ゼーレンヴァンデルング,12.5
EXPERT,VARIETY,Cyaegha,12.5
EXPERT,VARIETY,Malicious Mischance,12.0
EXPERT,チュウマイ,ハードコア・シンドローム,12.5
EXPERT,チュウマイ,C ＆ B,12.0
MASTER,POPS＆ANIME,うまぴょい伝説,12.4
MASTER,niconico,幽霊東京,12.2
MASTER,ボーナストラック,Jump!! Jump!! Jump!! -星咲 あかりソロver.-,12.6
MASTER,ボーナストラック,Jump!! Jump!! Jump!! -藤沢 柚子ソロver.-,12.6
MASTER,ボーナストラック,Jump!! Jump!! Jump!! -三角 葵ソロver.-,12.6
MASTER,ボーナストラック,Jump!! Jump!! Jump!! -逢坂 茜ソロver.-,12.6
MASTER,ボーナストラック,Jump!! Jump!! Jump!! -高瀬 梨緒ソロver.-,12.6
MASTER,オンゲキ,Girl's Party Planet!,12.4
MASTER,オンゲキ,涙隠しておんな道,12.3
MASTER,POPS＆ANIME,無敵☆moment,12.6
MASTER,niconico,ポジティブ☆ダンスタイム,12.6
MASTER,ボーナストラック,最強 the サマータイム!!!!! -星咲 あかりソロver.-,12.4
MASTER,ボーナストラック,最強 the サマータイム!!!!! -高瀬 梨緒ソロver.-,12.4
MASTER,ボーナストラック,最強 the サマータイム!!!!! -日向 千夏ソロver.-,12.4
MASTER,ボーナストラック,最強 the サマータイム!!!!! -柏木 美亜ソロver.-,12.4
MASTER,ボーナストラック,最強 the サマータイム!!!!! -東雲 つむぎソロver.-,12.4
MASTER,POPS＆ANIME,空色メモリーズ,12.5
MASTER,POPS＆ANIME,Departure,12.6
MASTER,オンゲキ,ランダムサンデー,12.4
MASTER,オンゲキ,Little Twinkle,12.1
MASTER,niconico,ビビッドヒーロー,12.5
MASTER,東方Project,幽闇に目醒めしは,12.1
MASTER,オンゲキ,Flower,12.4
MASTER,チュウマイ,朝焼けプラットホーム,12.4
MASTER,チュウマイ,Ring,12.4
MASTER,ボーナストラック,Girl's Party Planet! -桜井 春菜ソロver.-,12.4
MASTER,ボーナストラック,Girl's Party Planet! -早乙女 彩華ソロver.-,12.4
MASTER,ボーナストラック,Girl's Party Planet! -井之原 小星ソロver.-,12.4
MASTER,ボーナストラック,Girl's Party Planet! -柏木 咲姫ソロver.-,12.4
MASTER,niconico,キャットラビング,12.3
EXPERT,チュウマイ,Starry Colors,12.6
EXPERT,オンゲキ,Island Breeze,11.9
EXPERT,オンゲキ,ICEBURN,11.9
EXPERT,VARIETY,In Chaos,11.8
EXPERT,オンゲキ,Vibes 2k20 （owl＊aging remix）,11.9
EXPERT,VARIETY,Electric Emotion,11.7
EXPERT,東方Project,U.N.オーエンは彼女なのか？ - Greater Scarlet,11.9
EXPERT,チュウマイ,宙の隣,11.9
MASTER,オンゲキ,青空コントレール,11.9
EXPERT,POPS＆ANIME,Let Me Know （feat. Masayoshi Iimori）,11.0
EXPERT,POPS＆ANIME,HEAVEN’S RAVE,11.2
EXPERT,東方Project,神々が恋した幻想郷,11.1
EXPERT,niconico,パラジクロロベンゼン,11.4
EXPERT,オンゲキ,まりもとおもちゃ箱,11.1
EXPERT,VARIETY,BLUE ZONE,11.4
EXPERT,オンゲキ,超前進！満点スマイル！,11.4
EXPERT,niconico,タイガーランペイジ,11.2
EXPERT,VARIETY,音弾超人ゴリライザー,11.6
EXPERT,ボーナストラック,STARRED HEART -星咲 あかりソロver.-,11.0
EXPERT,ボーナストラック,STARRED HEART -結城 莉玖ソロver.-,11.0
EXPERT,ボーナストラック,STARRED HEART -九條 楓ソロver.-,11.0
EXPERT,ボーナストラック,STARRED HEART -珠洲島 有栖ソロver.-,11.0
